method,order,size,time
3,1,100,0.000000
3,1,1000,0.001000
3,1,10000,0.012000
3,1,50000,0.076000
3,1,100000,0.149000
3,1,200000,0.317000
3,1,300000,0.481000
2,1,100,0.000000
2,1,1000,0.032000
2,1,10000,3.483000
2,1,50000,89.036000
2,1,100000,4471.050000
2,1,200000,4447.040000
3,0,100,0.000000
3,0,1000,0.001000
3,0,10000,0.012000
3,0,50000,0.069000
3,0,100000,0.145000
3,0,200000,0.312000
3,0,300000,0.485000
1,0,100,0.000000
1,0,1000,0.012000
1,0,10000,1.258000
1,1,100,0.000000
1,1,1000,0.012000
1,1,10000,1.234000
3,0,100,0.000000
3,0,1000,0.000000
3,0,10000,0.006000
3,0,50000,0.029000
3,0,100000,0.060000
3,0,200000,0.129000
3,0,300000,0.198000
3,1,100,0.000000
3,1,1000,0.001000
3,1,10000,0.013000
3,1,50000,0.087000
3,1,100000,0.163000
3,1,200000,0.337000
3,1,300000,0.510000
